Newton Division,2015new
100,The WildHats
1094,Channel Cats
1111,The Power Hawks
118,Robonauts
133,B.E.R.T
1466,Webb Robotics
155,The Technonuts
1671,Buchanan Bird Brains
1678,Citrus Circuits
1720,PhyXTGears
1741,Red Alert
175,Buzz Robotics
1756,Argos
190,Gompei and the H.E.R.D.
1918,NC GEARS
195,Cyber Knights
1983,Skunk Works Robotics
2039,Rockford Robotics
2158,ausTIN CANs
2339,Robolopes
2468,Team Appreciate
25,Raider Robotix
2607,The Fighting RoboVikings
269,CooneyTech
2761,IronHorse Robotics
2877,LigerBots
295,Renevatio
3015,Ranger Robotics
3039,Wildcat Robotics
3130,The East Ridge Robotic Ominous RaptorS - the ERRORS
3137,T-Birds
3171,P.R.I.D.E
321,RoboLancers
3310,Black Hawk Robotics
3314,Mechanical Mustangs
3464,Sim-City
3467,The Windham Windup
3539,Byting Bulldogs
3574,HIGH TEKERZ
3641,The Flying Toasters
3783,Robo Wildcats
3785,Gila Monsters
3838,Roc City Robotix
3940,CyberTooth
4013,Clockwork Mania
4118,Roaring Riptide
4188,Columbus Space Program
4322,Clockwork Oranges
4471,SPARTRONS
4501,Humans
4522,Team SCREAM
4541,CAV-ineers
4575,The Tin Mints
4678,CyberCavs
4841,Optimal Robotics
4842,Botrregos
4903,Mustangs
4954,4-H Palindrome Robotics
5012,Gryffingear
5027,Event Horizon
5188,Classified Robotics
533,The PSIcotics
537,Charger Robotics
540,TALON 540 Godwin Robotics
5418,The Sonic Screwdrivers
5479,Cafe Bot
5489,CSI Golden Eagle Robotics
5495,Aluminati
5511,Cortechs Robotics
5526,tCATs
5529,Visalia Vanquishers
5710,The O-Bots
587,Hedgehogs
74,Team C.H.A.O.S.
932,Circuit Chargers
955,CV Robotics
